id	database	name	metadata	card: id	card: name	card: match_type	card: match_identity	card: match_coverage	card: metadata	ncbi: id	ncbi: name	ncbi: match_type	ncbi: match_identity	ncbi: match_coverage	ncbi: metadata
ARR-2	resfinder	ARR-2	phenotype: confers resistance to: RIFAMPICIN	ARO3002847	arr-2	RBH	1.0	1.0	PMID: ['10103210'], additional_phenotype: confers resistance to drug class: RIFAMYCIN ANTIBIOTIC, is_a: ARO:3000390:rifampin ADP-ribosyltransferase (Arr), phenotype: confers resistance to antibiotic: RIFABUTIN,  RIFAMPIN,  RIFAPENTINE,  RIFAXIMIN	WP_000237816.1	arr-2	RBH	1.0	1.0	phenotype: confers resistance to subclass: RIFAMYCIN, product: NAD(+)--rifampin ADP-ribosyltransferase Arr-2
ARR-3	resfinder	ARR-3	phenotype: confers resistance to: RIFAMPICIN	ARO3002848	arr-3	RBH	1.0	1.0	PMID: ['21683552'], additional_phenotype: confers resistance to drug class: RIFAMYCIN ANTIBIOTIC, is_a: ARO:3000390:rifampin ADP-ribosyltransferase (Arr), phenotype: confers resistance to antibiotic: RIFABUTIN,  RIFAMPIN,  RIFAPENTINE,  RIFAXIMIN	WP_001749986.1	arr-3	RBH	1.0	1.0	phenotype: confers resistance to subclass: RIFAMYCIN, product: NAD(+)--rifampin ADP-ribosyltransferase Arr-3
ARR-4	resfinder	ARR-4	phenotype: confers resistance to: RIFAMPICIN	ARO3002849	arr-4	RBH	1.0	1.0	PMID: ['18299416'], additional_phenotype: confers resistance to drug class: RIFAMYCIN ANTIBIOTIC, is_a: ARO:3000390:rifampin ADP-ribosyltransferase (Arr), phenotype: confers resistance to antibiotic: RIFABUTIN,  RIFAMPIN,  RIFAPENTINE,  RIFAXIMIN	WP_033959319.1	arr-4	RBH	1.0	1.0	phenotype: confers resistance to subclass: RIFAMYCIN, product: NAD(+)--rifampin ADP-ribosyltransferase Arr-4
ARR-5	resfinder	ARR-5	phenotype: confers resistance to: RIFAMPICIN	ARO3002850	arr-5	RBH	1.0	1.0	PMID: ['18299416'], additional_phenotype: confers resistance to drug class: RIFAMYCIN ANTIBIOTIC, is_a: ARO:3000390:rifampin ADP-ribosyltransferase (Arr), phenotype: confers resistance to antibiotic: RIFABUTIN,  RIFAMPIN,  RIFAPENTINE,  RIFAXIMIN	WP_052238312.1	arr-5	RBH	1.0	1.0	phenotype: confers resistance to subclass: RIFAMYCIN, product: NAD(+)--rifampin ADP-ribosyltransferase Arr-5
ARR-6	resfinder	ARR-6	phenotype: confers resistance to: RIFAMPICIN												
ARR-7	resfinder	ARR-7	phenotype: confers resistance to: RIFAMPICIN	ARO3002852	arr-7	RBH	1.0	1.0	PMID: ['19884381'], additional_phenotype: confers resistance to drug class: RIFAMYCIN ANTIBIOTIC, is_a: ARO:3000390:rifampin ADP-ribosyltransferase (Arr), phenotype: confers resistance to antibiotic: RIFABUTIN,  RIFAMPIN,  RIFAPENTINE,  RIFAXIMIN	WP_044059783.1	arr-7	RBH	1.0	1.0	phenotype: confers resistance to subclass: RIFAMYCIN, product: NAD(+)--rifampin ADP-ribosyltransferase Arr-7
ARR-8	resfinder	ARR-8	phenotype: confers resistance to: RIFAMPICIN	ARO3002853	arr-8	RBH	1.0	1.0	PMID: ['23752512'], additional_phenotype: confers resistance to drug class: RIFAMYCIN ANTIBIOTIC, is_a: ARO:3000390:rifampin ADP-ribosyltransferase (Arr), phenotype: confers resistance to antibiotic: RIFABUTIN,  RIFAMPIN,  RIFAPENTINE,  RIFAXIMIN	WP_063857695.1	arr-8	RBH	1.0	1.0	phenotype: confers resistance to subclass: RIFAMYCIN, product: NAD(+)--rifampin ADP-ribosyltransferase Arr-8
Cfr(D)	resfinder	Cfr(D)	phenotype: confers resistance to: CHLORAMPHENICOL, CLINDAMYCIN, DALFOPRISTIN, FLORFENICOL, LINCOMYCIN, LINEZOLID, PRISTINAMYCIN IIA, TIAMULIN, VIRGINIAMYCIN M	ARO3005021	cfr(D)	RBH	1.0	1.0	PMID: ['31685464', '32277823'], additional_phenotype: confers resistance to drug class: LINCOSAMIDE ANTIBIOTIC,  OXAZOLIDINONE ANTIBIOTIC,  PHENICOL ANTIBIOTIC,  STREPTOGRAMIN ANTIBIOTIC, is_a: ARO:3005020:cfr(D) Group, phenotype: confers resistance to antibiotic: LINEZOLID,  TEICOPLANIN,  VANCOMYCIN	WP_105459893.1	cfr(D)	RBH	1.0	1.0	phenotype: confers resistance to subclass: CHLORAMPHENICOL, CLINDAMYCIN, LINEZOLID, STREPTOGRAMIN B, TEDIZOLID, TIAMULIN, product: 23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(D)
Cfr(E)	resfinder	Cfr(E)	phenotype: confers resistance to: CHLORAMPHENICOL, CLINDAMYCIN, DALFOPRISTIN, FLORFENICOL, LINCOMYCIN, LINEZOLID, PRISTINAMYCIN IIA, TIAMULIN, VIRGINIAMYCIN M	ARO3005023	cfrE	RBH	1.0	1.0	PMID: ['31685464'], additional_phenotype: confers resistance to drug class: LINCOSAMIDE ANTIBIOTIC,  OXAZOLIDINONE ANTIBIOTIC,  PHENICOL ANTIBIOTIC,  STREPTOGRAMIN ANTIBIOTIC, is_a: ARO:3005022:cfr(E) Group, phenotype: confers resistance to antibiotic: THIAMPHENICOL,  TIAMULIN	WP_105119688.1	cfr(E)	RBH	1.0	1.0	phenotype: confers resistance to subclass: LINCOSAMIDE, LINEZOLID, THIAMPHENICOL, TIAMULIN, VIRGINIAMYCIN, product: 23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(E)
CmlA10	resfinder	CmlA10	phenotype: confers resistance to: CHLORAMPHENICOL	ARO3002694	cmlA4	OWH	0.927	1.0	PMID: ['10681329'], additional_phenotype: confers resistance to drug class: PHENICOL ANTIBIOTIC, is_a: ARO:0010002:major facilitator superfamily (MFS) antibiotic efflux pump, phenotype: confers resistance to antibiotic: CHLORAMPHENICOL	WP_042862943.1	cmlA10	OWH	0.933	1.0	phenotype: confers resistance to subclass: CHLORAMPHENICOL, product: chloramphenicol efflux MFS transporter CmlA10
CmlA2	resfinder	CmlA2	phenotype: confers resistance to: CHLORAMPHENICOL	ARO3002698	cmlB	RBH	1.0	0.960880195599022	PMID: ['9756755'], is_a: ARO:0010002:major facilitator superfamily (MFS) antibiotic efflux pump, phenotype: confers resistance to antibiotic: CHLORAMPHENICOL	WP_032492328.1	cmlB	RBH	1.0	0.960880195599022	phenotype: confers resistance to subclass: CHLORAMPHENICOL, product: chloramphenicol efflux MFS transporter CmlB
CmlA4	resfinder	CmlA4	phenotype: confers resistance to: CHLORAMPHENICOL	ARO3002694	cmlA4	OWH	0.903	1.0024875621890548	PMID: ['10681329'], additional_phenotype: confers resistance to drug class: PHENICOL ANTIBIOTIC, is_a: ARO:0010002:major facilitator superfamily (MFS) antibiotic efflux pump, phenotype: confers resistance to antibiotic: CHLORAMPHENICOL	WP_063843246.1	cmlA4	OWH	0.903	1.0024875621890548	phenotype: confers resistance to subclass: CHLORAMPHENICOL, product: chloramphenicol efflux MFS transporter CmlA4
CmlA5	resfinder	CmlA5	phenotype: confers resistance to: CHLORAMPHENICOL	ARO3002695	cmlA5	OWH	0.931	1.0	PMID: ['19719593', '10049269'], is_a: ARO:0010002:major facilitator superfamily (MFS) antibiotic efflux pump, phenotype: confers resistance to antibiotic: CHLORAMPHENICOL	WP_032489896.1	cmlA5	OWH	0.934	1.0	phenotype: confers resistance to subclass: CHLORAMPHENICOL, product: chloramphenicol efflux MFS transporter CmlA5
CmlA6	resfinder	CmlA6	phenotype: confers resistance to: CHLORAMPHENICOL	ARO3002696	cmlA6	OWH	0.932	1.0	PMID: ['11353602'], is_a: ARO:0010002:major facilitator superfamily (MFS) antibiotic efflux pump, phenotype: confers resistance to antibiotic: CHLORAMPHENICOL	WP_001256773.1	cmlA6	OWH	0.932	1.0	phenotype: confers resistance to subclass: CHLORAMPHENICOL, product: chloramphenicol efflux MFS transporter CmlA6
CmlA7	resfinder	CmlA7	phenotype: confers resistance to: CHLORAMPHENICOL	ARO3002695	cmlA5	RBH	0.997	1.0	PMID: ['19719593', '10049269'], is_a: ARO:0010002:major facilitator superfamily (MFS) antibiotic efflux pump, phenotype: confers resistance to antibiotic: CHLORAMPHENICOL	WP_071846197.1	cmlA	RBH	0.995	1.0	phenotype: confers resistance to subclass: CHLORAMPHENICOL, product: CmlA family chloramphenicol efflux MFS transporter
CmlA8	resfinder	CmlA8	phenotype: confers resistance to: CHLORAMPHENICOL	ARO3004665	cmlA8	OWH	0.938	1.0	PMID: ['19107398'], is_a: ARO:0010002:major facilitator superfamily (MFS) antibiotic efflux pump, phenotype: confers resistance to antibiotic: CHLORAMPHENICOL	WP_032492104.1	cmlA8	OWH	0.938	1.0	phenotype: confers resistance to subclass: CHLORAMPHENICOL, product: chloramphenicol efflux MFS transporter CmlA8
CmlA9	resfinder	CmlA9	phenotype: confers resistance to: CHLORAMPHENICOL	ARO3005043	cmlA9	RBH	1.0	1.0	PMID: ['25315365'], is_a: ARO:0010002:major facilitator superfamily (MFS) antibiotic efflux pump, phenotype: confers resistance to antibiotic: CHLORAMPHENICOL	WP_000214125.1	floR2	RBH	1.0	1.0	phenotype: confers resistance to subclass: CHLORAMPHENICOL, FLORFENICOL, product: chloramphenicol/florfenicol efflux MFS transporter FloR2
EstDL136	resfinder	EstDL136	phenotype: confers resistance to: CHLORAMPHENICOL, FLORFENICOL	-	-	-	-	-	-						
FloR	resfinder	FloR	phenotype: confers resistance to: CHLORAMPHENICOL, FLORFENICOL	ARO3002705	floR	RBH	0.997	1.0	PMID: ['11600347', '19292580', '14645321', '11101601', '12493808', '10339826', '11451703', '17224413', '10991873', '12107144', '11544236'], is_a: ARO:3003963:flo, phenotype: confers resistance to antibiotic: CHLORAMPHENICOL,  FLORFENICOL						
Gar	resfinder	Gar	phenotype: confers resistance to: GENTAMICIN, ISEPAMICIN, NETILMICIN, SISOMICIN	-	-	-	-	-	-	WP_194293131.1	gar	RBH	0.994	1.0	phenotype: confers resistance to subclass: GENTAMICIN, product: gentamicin resistance ATP-binding protein Gar
NarA	resfinder	NarA	phenotype: confers resistance to: MADURAMICIN, NARASIN, SALINOMYCIN												
OqxA	resfinder	OqxA	phenotype: confers resistance to: CHLORAMPHENICOL, CIPROFLOXACIN, NALIDIXIC ACID, TRIMETHOPRIM	ARO3003922	oqxA	RBH	1.0	1.0	PMID: ['19528276'], is_a: ARO:3000748:subunit of efflux pump conferring antibiotic resistance	WP_002914189.1	oqxA	RBH	1.0	1.0	phenotype: confers resistance to subclass: NITROFURANTOIN, PHENICOL, QUINOLONE, TIGECYCLINE, product: multidrug efflux RND transporter periplasmic adaptor subunit OqxA
OqxB	resfinder	OqxB	phenotype: confers resistance to: CHLORAMPHENICOL, CIPROFLOXACIN, NALIDIXIC ACID, TRIMETHOPRIM	ARO3003923	oqxB	RBH	1.0	1.0	PMID: ['19528276'], is_a: ARO:3000748:subunit of efflux pump conferring antibiotic resistance	WP_000347934.1	oqxB	RBH	1.0	1.0	phenotype: confers resistance to subclass: NITROFURANTOIN, PHENICOL, QUINOLONE, TIGECYCLINE, product: multidrug efflux RND transporter permease subunit OqxB
