query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
aac(2')-Ia	AAC(2')-Ia	1.0	178	0	0	1	178	1	178	4.754000000000001e-121	376
aac(2')-Ib	AAC(2')-Ib	1.0	195	0	0	1	195	1	195	6.906e-134	414
aac(2')-Ic	AAC(2')-Ic	1.0	181	0	0	1	181	1	181	4.121e-124	385
aac(2')-Id	AAC(2')-Id	1.0	210	0	0	1	210	1	210	2.46e-144	445
aac(2')-Ie	AAC(2')-Ie	1.0	182	0	0	1	182	1	182	1.606e-126	392
aac(2')-IIa	AAC(2')-IIa	1.0	260	0	0	1	260	1	260	5.836e-177	542
aac(2')-IIb	AAC(2')-IIb	1.0	240	0	0	1	240	1	240	7.667e-164	503
aac(3)-Ia	AAC(3)-Ia	0.987	154	2	0	1	154	1	154	1.244e-98	310
aac(3)-Ib	AAC(3)-Ib/AAC(6')-Ib''	1.0	334	0	0	1	334	1	334	2.392e-224	683
aac(3)-Ib	AAC(3)-Ib	0.993	154	1	0	1	154	23	176	1.37e-97	307
aac(3)-Ic	AAC(3)-Ic	1.0	156	0	0	1	156	1	156	1.025e-101	319
aac(3)-Id	AAC(3)-Id	1.0	158	0	0	1	158	1	158	1.507e-98	310
aac(3)-IIa	AAC(3)-IIa	1.0	286	0	0	1	286	1	286	7.498999999999999e-196	598
aac(3)-IIb	AAC(3)-IIb	1.0	269	0	0	1	269	1	269	1.243e-181	556
aac(3)-IIc	AAC(3)-IIc	1.0	286	0	0	1	286	1	286	3.704e-195	596
aac(3)-IId	AAC(3)-IId	1.0	286	0	0	1	286	1	286	1.6669999999999999e-195	597
aac(3)-IIe	AAC(3)-IIe	0.986	286	4	0	1	286	1	286	2.2050000000000002e-192	588
aac(3)-IIg	AAC(3)-IIg	1.0	269	0	0	1	269	1	269	5.592e-182	557
aac(3)-IIIa	AAC(3)-IIIa	1.0	271	0	0	1	271	1	271	2.089e-185	567
aac(3)-IIIb	AAC(3)-IIIb	1.0	272	0	0	1	272	1	272	2.6400000000000002e-183	561
aac(3)-IIIc	AAC(3)-IIIc	1.0	279	0	0	1	279	1	279	2.5279999999999997e-187	573
aac(3)-IVa	AAC(3)-IV	1.0	258	0	0	1	258	1	258	1.074e-177	544
aac(3)-IVb	AAC(3)-IVb	0.996	251	1	0	15	265	1	251	2.175e-173	532
aac(3)-IXa	AAC(3)-IXa	1.0	281	0	0	1	281	1	281	1.3159999999999999e-195	597
aac(3)-VIa	AAC(3)-VIa	0.996	299	1	0	1	299	1	299	2.693e-205	626
aac(3)-VIIa	AAC(3)-VIIa	1.0	288	0	0	1	288	1	288	2.8030000000000003e-199	608
aac(3)-VIIIa	AAC(3)-VIIIa	1.0	286	0	0	1	286	1	286	6.222e-198	604
aac(3)-Xa	AAC(3)-Xa	1.0	284	0	0	1	284	1	284	3.0699999999999997e-196	599
aac(6')	AAC(6')-Iaa	0.597	143	57	0	1	142	1	143	4.9530000000000004e-55	184
aac(6')	AAC(6')-Iy	0.597	143	57	0	1	142	1	143	4.9530000000000004e-55	184
aac(6')-29a	AAC(6')-29a	1.0	133	0	0	1	133	1	133	1.598e-85	271
aac(6')-29b	AAC(6')-29b	1.0	133	0	0	1	133	1	133	3.226e-86	273
aac(6')-30	AAC(6')-30/AAC(6')-Ib'	1.0	328	0	0	1	328	1	328	4.399e-223	679
aac(6')-31	AAC(6')-31	1.0	172	0	0	13	184	1	172	1.875e-117	366
aac(6')-32	AAC(6')-32	1.0	184	0	0	1	184	1	184	1.767e-126	392
aac(6')-33	AAC(6')-33	1.0	184	0	0	1	184	1	184	7.947e-127	393
aac(6')-35	AAC(6')-34	0.538	179	81	0	1	176	16	194	1.874e-64	213
aac(6')-I30	AAC(6')-I30	1.0	184	0	0	1	184	1	184	7.947e-127	393
aac(6')-Ia	AAC(6')-Ia	0.989	185	2	0	1	185	1	185	1.854e-126	392
aac(6')-Iad	AAC(6')-Iad	1.0	144	0	0	1	144	1	144	1.028e-95	301
aac(6')-Iae	AAC(6')-Iae	1.0	183	0	0	1	183	1	183	8.334e-126	390
aac(6')-Iaf	AAC(6')-Iaf	1.0	183	0	0	1	183	1	183	7.575e-127	393
aac(6')-Iag	AAC(6')-Iag	1.0	167	0	0	1	167	1	167	6.643e-112	349
aac(6')-Iai	AAC(6')-Iai	1.0	188	0	0	1	188	1	188	3.576e-129	400
aac(6')-Iaj	AAC(6')-Iaj	1.0	184	0	0	1	184	1	184	3.931e-126	391
aac(6')-Iak	AAC(6')-Iak	1.0	153	0	0	1	153	1	153	1.7930000000000003e-102	321
aac(6')-Ian	AAC(6')-Ian	1.0	190	0	0	1	190	1	190	1.9460000000000002e-128	398
aac(6')-Ib'	AAC(6')-Ib'	1.0	184	0	0	1	184	1	184	4.757e-124	385
aac(6')-Ib-cr	AAC(6')-Ib-cr	1.0	184	0	0	1	184	1	184	4.757e-124	385
aac(6')-Ib-cr5	AAC(6')-Ib-cr5	1.0	184	0	0	1	184	1	184	2.3530000000000003e-123	383
aac(6')-Ib-cr7	AAC(6')-Ib-cr7	1.0	184	0	0	1	184	1	184	2.3530000000000003e-123	383
aac(6')-Ib-cr8	AAC(6')-Ib-cr8	1.0	184	0	0	1	184	1	184	2.3530000000000003e-123	383
aac(6')-Ib-cr9	AAC(6')-Ib-cr9	1.0	184	0	0	1	184	1	184	1.0580000000000001e-123	384
aac(6')-Ib11	AAC(6')-Ib11	1.0	189	0	0	1	189	1	189	9.177000000000001e-128	396
aac(6')-Ib3	AAC(6')-Ib3	1.0	184	0	0	1	184	1	184	4.757e-124	385
aac(6')-Ib4	AAC(6')-Ib4	1.0	184	0	0	1	184	1	184	4.757e-124	385
aac(6')-Ic	AAC(6')-Ic	1.0	146	0	0	1	146	1	146	2.075e-97	306
aac(6')-Ie	AAC(6')-Ie-APH(2'')-Ia	0.997	479	1	0	1	479	1	479	0.0	1009
aac(6')-If	AAC(6')-If	0.972	144	4	0	6	149	1	144	1.4399999999999998e-94	298
aac(6')-Ig	AAC(6')-Ig	1.0	145	0	0	1	145	1	145	2.644e-94	297
aac(6')-Ih	AAC(6')-Ih	1.0	146	0	0	1	146	1	146	2.2860000000000003e-96	303
aac(6')-Ii	AAC(6')-Ii	1.0	182	0	0	1	182	1	182	2.138e-123	383
aac(6')-IIa	AAC(6')-IIa	0.994	184	1	0	1	184	1	184	3.931e-126	391
aac(6')-IIb	AAC(6')-IIb	1.0	180	0	0	1	180	1	180	3.928e-124	385
aac(6')-IIc	AAC(6')-IIc	1.0	193	0	0	1	193	1	193	1.6880000000000001e-131	407
aac(6')-Iid	AAC(6')-Iid	1.0	182	0	0	1	182	1	182	1.0580000000000001e-122	381
aac(6')-Iih	AAC(6')-Iih	1.0	183	0	0	1	183	1	183	4.9890000000000006e-123	382
aac(6')-Ij	AAC(6')-Ij	1.0	146	0	0	1	146	1	146	1.027e-96	304
aac(6')-Ik	AAC(6')-Ik	1.0	145	0	0	1	145	1	145	1.188e-94	298
aac(6')-Il	AAC(6')-Il	0.986	152	2	0	1	152	1	152	4.612e-100	314
aac(6')-Im	AAC(6')-Im	1.0	178	0	0	1	178	1	178	7.938e-124	384
aac(6')-Ip	AAC(6')-Ip	1.0	173	0	0	21	193	1	173	1.0679999999999999e-119	373
aac(6')-Iq	AAC(6')-Iq	1.0	183	0	0	1	183	1	183	7.575e-127	393
aac(6')-Ir	AAC(6')-Ir	1.0	146	0	0	1	146	1	146	1.027e-96	304
aac(6')-Is	AAC(6')-Is	1.0	146	0	0	1	146	1	146	5.087e-96	302
aac(6')-Isa	AAC(6')-Isa	1.0	157	0	0	1	157	1	157	7.316e-106	331
aac(6')-It	AAC(6')-It	1.0	146	0	0	1	146	1	146	4.191e-98	308
aac(6')-Iu	AAC(6')-Iu	1.0	146	0	0	1	146	1	146	5.087e-96	302
aac(6')-Iv	AAC(6')-Iv	1.0	146	0	0	1	146	1	146	4.617e-97	305
aac(6')-Iw	AAC(6')-Iw	1.0	146	0	0	1	146	1	146	1.132e-95	301
aac(6')-Ix	AAC(6')-Ix	1.0	146	0	0	1	146	1	146	2.2860000000000003e-96	303
aac(6')-Iz	AAC(6')-Iz	0.973	153	4	0	1	153	1	153	2.395e-99	312
aac(6')-sk	AAC(6')-Ib-SK	0.993	157	1	0	1	157	20	176	1.9739999999999998e-103	324
aacA43	aacA43	0.989	187	2	0	1	187	1	187	2.04e-126	392
aadA1	ANT(3'')-IIa	0.996	263	1	0	1	263	61	323	9.777e-173	530
aadA1	aadA	0.996	263	1	0	1	263	1	263	9.777e-173	530
aadA10	aadA10	0.988	268	3	0	1	268	1	268	8.496e-175	537
aadA12	aadA12	1.0	263	0	0	1	263	1	263	9.777e-173	530
aadA13	aadA13	0.988	265	3	0	1	265	1	265	4.833e-173	531
aadA14	aadA14	1.0	261	0	0	1	261	1	261	9.770000000000001e-172	527
