sample	id	database	name	metadata	card: id	card: name	card: match_type	card: match_identity	card: match_coverage	card: metadata	ncbi: id	ncbi: name	ncbi: match_type	ncbi: match_identity	ncbi: match_coverage	ncbi: metadata	resfinder: id	resfinder: name	resfinder: match_type	resfinder: match_identity	resfinder: match_coverage	resfinder: metadata
ResFinder_results_tab.txt	blaNDM-1	resfinder	blaNDM-1	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	ARO3000589	NDM-1	RBH	1.0	1.0	additional_phenotype: confers resistance to drug class: cephamycin,penam,cephalosporin,carbapenem, is_a: ARO:3000057:NDM beta-lactamase, phenotype: confers resistance to antibiotic: amoxicillin-clavulanic acid,meropenem,ertapenem,imipenem	WP_004201164.1	blaNDM-1	RBH	1.0	1.0	phenotype: confers resistance to subclass CARBAPENEM, product: subclass B1 metallo-beta-lactamase NDM-1	-	-	-	-	-	-
report.tsv	ARO:3001396	card	OXA-1	additional_phenotype: confers resistance to drug class: penam,cephalosporin,carbapenem, is_a: ARO:3000017:OXA beta-lactamase, phenotype: confers resistance to antibiotic: piperacillin,piperacillin-tazobactam,cefalotin,amoxicillin,amoxicillin-clavulanic acid,ampicillin	-	-	-	-	-	-	WP_001334766.1	blaOXA-1	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: oxacillin-hydrolyzing class D beta-lactamase OXA-1	blaOXA-1	blaOXA-1	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam
report_nucleotide.tsv	WP_063854349.1	ncbi	msr(C)	phenotype: confers resistance to subclass MACROLIDE, product: ABC-F type ribosomal protection protein Msr(C)	ARO3002819	msrC	RBH	1.0	1.0	is_a: ARO:3004471:msr-type ABC-F protein, phenotype: confers resistance to antibiotic: quinupristin,erythromycin	-	-	-	-	-	-	msr(C)	msr(C)	RBH	0.953	1.0	phenotype: confers resistance to Erythromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S
report_protein.tsv	WP_063856712.1	ncbi	vanM	phenotype: confers resistance to subclass VANCOMYCIN, product: D-alanine--(R)-lactate ligase VanM	ARO3002911	vanM	RBH	1.0	1.0	is_a: ARO:3002978:D-Ala-D-Lac ligase	-	-	-	-	-	-	VanHMX	VanHMX	RBH	1.0	1.0	phenotype: confers resistance to Vancomycin, Teicoplanin
rgi.txt	ARO:3001070	card	SHV-11	is_a: ARO:3000015:SHV beta-lactamase, phenotype: confers resistance to drug class: penam,cephalosporin,carbapenem	-	-	-	-	-	-	WP_004176269.1	blaSHV-11	RBH	1.0	1.0	phenotype: confers resistance to subclass BETA-LACTAM, product: class A broad-spectrum beta-lactamase SHV-11	blaSHV-11	blaSHV-11	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin
