query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
WP_000054744.1	aac(6')-Iae	0.249	127	77	0	55	158	37	163	8.883e-07	45
WP_000054744.1	aacA43	0.223	127	80	0	55	158	37	163	0.0003343	37
WP_000054744.1	aac(6')-Iq	0.201	160	101	0	32	158	4	163	0.0002491	38
WP_000214125.1	floR	0.855	404	58	0	1	404	1	404	1.149e-234	717
WP_000214125.1	cmlA1	0.509	372	182	0	17	388	1	372	2.599e-109	354
WP_000214125.1	cmlB1	0.492	368	186	0	18	384	1	368	8.774999999999999e-103	335
WP_000733274.1	blaZ	0.902	281	27	0	1	281	1	281	1.086e-172	531
WP_000733274.1	blaACI-1	0.417	278	161	0	1	277	1	278	7.887e-60	205
WP_000733274.1	blaROB-1	0.378	288	166	0	10	277	11	298	3.5559999999999995e-53	185
WP_000778180.1	blaIMP-53	0.184	210	146	0	86	295	46	225	0.0002249	40
WP_000778180.1	blaIMP-28	0.181	215	151	0	86	300	46	230	0.0003936	39
WP_000778180.1	blaIMP-5	0.181	214	150	0	86	299	46	229	0.0003936	39
WP_000799227.1	blaB-12	0.47	215	113	0	41	255	24	238	7.536e-54	186
WP_000799227.1	blaB-13	0.466	215	114	0	41	255	24	238	3.6069999999999997e-53	184
WP_000799227.1	blaB-5	0.444	220	122	0	36	255	19	238	1.01e-50	177
WP_000800689.1	catB2	0.912	210	18	0	1	210	1	210	1.232e-129	402
WP_000800689.1	catB10	0.894	206	22	0	1	206	1	206	6.9720000000000004e-124	386
WP_000800689.1	catB3	0.888	205	23	0	1	205	1	205	3.069e-122	381
WP_000941933.1	fosA7	0.973	140	4	0	1	140	1	140	9.395e-92	289
WP_000941933.1	fosA2	0.861	136	19	0	1	136	1	136	2.145e-76	245
WP_000941933.1	fosA	0.845	136	21	0	1	136	1	136	1.301e-74	240
WP_000941935.1	fosA7	0.989	140	2	0	1	140	1	140	1.13e-93	295
WP_000941935.1	fosA2	0.863	136	18	0	1	136	1	136	1.141e-76	246
WP_000941935.1	fosA	0.851	136	20	0	1	136	1	136	2.683e-75	242
WP_000952923.1	blaOXA-372	0.361	202	128	0	359	560	30	231	9.860000000000001e-30	123
WP_000952923.1	blaOXA-198	0.338	221	146	0	359	579	35	255	1.742e-29	122
WP_000952923.1	blaOXA-37	0.292	241	166	0	320	560	2	237	1.436e-24	106
WP_000959805.1	aac(6')-Ian	0.96	190	8	0	1	190	1	190	2.709e-124	386
WP_000959805.1	aac(6')-aph(2'')	0.474	177	92	0	1	175	1	177	1.772e-44	156
WP_000959805.1	aph(2'')-Ia	0.474	177	92	0	1	175	1	177	1.772e-44	156
WP_001021774.1	blaOXA-365	0.962	274	10	0	1	274	1	274	9.887e-182	556
WP_001021774.1	blaOXA-338	0.96	274	11	0	1	274	1	274	1.857e-181	556
WP_001021774.1	blaOXA-555	0.958	274	11	0	1	274	1	274	6.554e-181	554
WP_001031679.1	tet(59)	0.914	400	34	0	1	400	1	400	1.04e-251	766
WP_001031679.1	tet(57)	0.782	393	85	0	1	393	1	393	1.601e-204	629
WP_001031679.1	tet(D)	0.668	378	125	0	1	378	1	378	1.178e-160	503
WP_001096392.1	blaOXA-46	0.296	208	144	0	375	582	58	263	6.561e-21	94
WP_001096392.1	blaOXA-37	0.264	252	170	0	331	582	32	263	6.561e-21	94
WP_001096392.1	blaOXA-20	0.264	252	170	0	331	582	32	263	6.561e-21	94
WP_001100299.1	tet(L)	0.283	375	268	0	36	410	10	384	6.202e-41	155
WP_001100299.1	tet(K)	0.268	375	274	0	36	410	40	414	1.2240000000000001e-36	142
WP_001100299.1	tet(45)	0.259	388	285	0	36	420	31	418	2.4120000000000003e-35	138
WP_001100752.1	blaPER-1	0.926	308	23	0	1	308	1	308	8.010999999999999e-196	599
WP_001100752.1	blaPER-3	0.924	308	23	0	1	308	1	308	2.062e-195	598
WP_001100752.1	blaPER-4	0.924	308	23	0	1	308	1	308	2.062e-195	598
WP_001109644.1	aac(6')-Ip	1.0	160	0	0	21	180	1	160	1.836e-110	346
WP_001109644.1	aac(6')-Iaf	0.968	183	6	0	1	183	1	183	9.713e-121	375
WP_001109644.1	aac(6')-Iq	0.939	183	11	0	1	183	1	183	2.3550000000000002e-116	362
WP_001159760.1	blaADC-25	0.96	383	15	0	1	383	1	383	2.4489999999999996e-255	775
WP_001159760.1	blaOCH-3	0.499	375	186	0	10	381	12	386	1.703e-107	348
WP_001159760.1	blaOCH-8	0.497	375	187	0	10	381	12	386	5.967e-107	346
WP_001159761.1	blaADC-25	0.942	388	22	0	1	388	1	383	3.491e-253	769
WP_001159761.1	blaOCH-2	0.507	358	175	0	29	386	31	386	2.051e-104	339
WP_001159761.1	blaOCH-8	0.488	377	191	0	10	386	12	386	8.01e-105	340
