source_name,cleaned_source_name,source_database,target_name,cleaned_target_name,target_database,sequence_identity,name_similarity,predicted_similarity,similarity_difference
vanA,vana,card,VanHAX,vanhax,resfinder,0.997,0.6666666666666667,0.9186894887485653,0.2520228220818985
vanA,vana,ncbi,VanHAX,vanhax,resfinder,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
vanB,vanb,card,VanHBX,vanhbx,resfinder,0.991,0.6666666666666667,0.9106293518986848,0.24396268523201803
vanB,vanb,ncbi,VanHBX,vanhbx,resfinder,0.991,0.6666666666666667,0.9106293518986848,0.24396268523201803
FosB,fosb,card,fosBx1,fosbx1,ncbi,0.985,0.6666666666666667,0.902569215048804,0.2359025483821373
FosB,fosb,card,fosB1,fosb1,resfinder,0.978,0.8,0.8931657220572766,0.09316572205727658
fosBx1,fosbx1,ncbi,FosB,fosb,card,0.985,0.6666666666666667,0.902569215048804,0.2359025483821373
fosBx1,fosbx1,ncbi,fosB1,fosb1,resfinder,0.992,0.8333333333333334,0.9119727080403315,0.07863937470699811
tet(S),tets,ncbi,tet(S/M),tets/m,resfinder,0.998,0.6666666666666667,0.920032844890212,0.25336617822354524
tetX,tetx,card,tet(X2),tetx2,ncbi,0.994,0.8,0.9146594203236249,0.11465942032362486
tet(X2),tetx2,ncbi,tetX,tetx,card,0.994,0.8,0.9146594203236249,0.11465942032362486
tet(X2),tetx2,ncbi,tet(X),tetx,resfinder,0.992,0.8,0.9119727080403315,0.11197270804033144
vanC,vanc,card,VanC1XY,vanc1xy,resfinder,1.0,0.5714285714285714,0.9227195571735056,0.3512909857449342
vanC,vanc,ncbi,VanC1XY,vanc1xy,resfinder,1.0,0.5714285714285714,0.9227195571735056,0.3512909857449342
rphA,rpha,card,rph,rph,ncbi,1.0,0.75,0.9227195571735056,0.17271955717350562
rph,rph,ncbi,rphA,rpha,card,1.0,0.75,0.9227195571735056,0.17271955717350562
QepA1,qepa1,card,qepA3,qepa3,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
QepA1,qepa1,card,qepA3,qepa3,resfinder,1.0,0.8,0.9227195571735056,0.12271955717350558
qepA3,qepa3,ncbi,QepA1,qepa1,card,1.0,0.8,0.9227195571735056,0.12271955717350558
gimA,gima,card,mgt,mgt,ncbi,1.0,0.0,0.9227195571735056,0.9227195571735056
mgt,mgt,ncbi,gimA,gima,card,1.0,0.0,0.9227195571735056,0.9227195571735056
CcrA,ccra,card,cfiA13,cfia13,ncbi,1.0,0.33333333333333337,0.9227195571735056,0.5893862238401723
CcrA,ccra,card,cfiA13,cfia13,resfinder,1.0,0.33333333333333337,0.9227195571735056,0.5893862238401723
cfiA13,cfia13,ncbi,CcrA,ccra,card,1.0,0.33333333333333337,0.9227195571735056,0.5893862238401723
Chryseobacterium meningosepticum BlaB,b,card,blaB-21,b21,ncbi,1.0,0.33333333333333337,0.9227195571735056,0.5893862238401723
Chryseobacterium meningosepticum BlaB,b,card,blaB-11,b11,resfinder,0.991,0.33333333333333337,0.9106293518986848,0.5772960185653514
blaB-21,b21,ncbi,Chryseobacterium meningosepticum BlaB,b,card,1.0,0.33333333333333337,0.9227195571735056,0.5893862238401723
blaB-21,b21,ncbi,blaB-11,b11,resfinder,0.976,0.6666666666666667,0.8904790097739832,0.22381234310731646
mel,mel,card,mef(A),mefa,ncbi,0.995,0.5,0.9160027764652718,0.41600277646527184
mel,mel,card,mef(A),mefa,resfinder,1.0,0.5,0.9227195571735056,0.4227195571735056
mef(A),mefa,ncbi,mel,mel,card,0.995,0.5,0.9160027764652718,0.41600277646527184
