id	database	name	metadata	ncbi: id	ncbi: name	ncbi: match_type	ncbi: match_identity	ncbi: match_coverage	ncbi: metadata	resfinder: id	resfinder: name	resfinder: match_type	resfinder: match_identity	resfinder: match_coverage	resfinder: metadata
ARO:3002999	card	CblA-1	PMID: ['7985999'], additional_phenotype: confers resistance to drug class: cephalosporin, is_a: ARO:3002998:CblA beta-lactamase, phenotype: confers resistance to antibiotic: cephaloridine	WP_005827792.1	cblA	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: CblA family class A beta-lactamase						
ARO:3001109	card	SHV-52	is_a: ARO:3000015:SHV beta-lactamase, phenotype: confers resistance to drug class: cephalosporin,penicillin beta-lactam	WP_063864691.1	blaSHV-52	RBH	1.0	1.0	phenotype: confers resistance to subclass BETA-LACTAM, product: inhibitor-resistant broad-spectrum class A beta-lactamase SHV-52	blaSHV-52	blaSHV-52	RBH	1.0	1.0	phenotype: confers resistance to Unknown Beta-lactam
ARO:3002867	card	dfrF	PMID: ['24492367'], additional_phenotype: confers resistance to drug class: diaminopyrimidine antibiotic, is_a: ARO:3001218:trimethoprim resistant dihydrofolate reductase dfr, phenotype: confers resistance to antibiotic: trimethoprim	WP_002322211.1	dfrF	RBH	1.0	1.0	phenotype: confers resistance to subclass TRIMETHOPRIM, product: trimethoprim-resistant dihydrofolate reductase DfrF						
ARO:3001989	card	CTX-M-130	is_a: ARO:3000016:CTX-M beta-lactamase, phenotype: confers resistance to drug class: cephalosporin	WP_063859949.1	blaCTX-M-130	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase CTX-M-130	blaCTX-M-130	blaCTX-M-130	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
ARO:3002356	card	NDM-6	PMID: ['22526013'], is_a: ARO:3000057:NDM beta-lactamase, phenotype: confers resistance to drug class: carbapenem,cephalosporin,penicillin beta-lactam	WP_032495384.1	blaNDM-6	RBH	1.0	1.0	phenotype: confers resistance to subclass CARBAPENEM, product: subclass B1 metallo-beta-lactamase NDM-6	blaNDM-6	blaNDM-6	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin
ARO:3001855	card	ACT-35	is_a: ARO:3000072:ACT beta-lactamase, phenotype: confers resistance to drug class: carbapenem,cephalosporin,penicillin beta-lactam	WP_063857779.1	blaACT-35	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: cephalosporin-hydrolyzing class C beta-lactamase ACT-35	blaACT-7	blaACT-7	OWH	0.972	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
ARO:3002244	card	CARB-5	PMID: ['10722515'], is_a: ARO:3000091:CARB beta-lactamase, phenotype: confers resistance to drug class: penicillin beta-lactam	WP_063859341.1	blaCARB-5	RBH	1.0	1.0	phenotype: confers resistance to subclass BETA-LACTAM, product: RTG family carbenicillin-hydrolyzing class A beta-lactamase CARB-5	blaCARB-5	blaCARB-5	RBH	1.0	1.0	phenotype: confers resistance to Ampicillin, Amoxicillin, Piperacillin
ARO:3000600	card	Erm(34)	PMID: ['14711653'], additional_phenotype: confers resistance to drug class: lincosamide antibiotic,macrolide antibiotic,streptogramin antibiotic, is_a: ARO:3000560:Erm 23S ribosomal RNA methyltransferase, phenotype: confers resistance to antibiotic: azithromycin,clarithromycin,clindamycin,dalfopristin,dirithromycin,erythromycin,griseoviridin,lincomycin,madumycin II,oleandomycin,ostreogrycin B3,patricin A,patricin B,pristinamycin IA,pristinamycin IB,pristinamycin IC,quinupristin,roxithromycin,spiramycin,telithromycin,tylosin,vernamycin C,virginiamycin M1,virginiamycin S2	WP_063844504.1	erm(34)	RBH	1.0	1.0	phenotype: confers resistance to subclass CLINDAMYCIN/ERYTHROMYCIN/LINCOMYCIN, product: 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(34)	erm(34)	erm(34)	RBH	1.0	1.0	phenotype: confers resistance to Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
ARO:3000988	card	TEM-126	PMID: ['15282240'], additional_phenotype: confers resistance to drug class: cephalosporin,monobactam,penicillin beta-lactam, is_a: ARO:3000014:TEM beta-lactamase, phenotype: confers resistance to antibiotic: ampicillin,ceftazidime	WP_063864819.1	blaTEM-126	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase TEM-126	blaTEM-126	blaTEM-126	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
ARO:3002511	card	LRA-12	PMID: ['18843302'], is_a: ARO:3004226:subclass B3 LRA beta-lactamase, phenotype: confers resistance to drug class: cephalosporin,penicillin beta-lactam	WP_063842707.1	blaLRA12	RBH	1.0	1.0	phenotype: confers resistance to subclass BETA-LACTAM, product: LRA12 family subclass B3 metallo-beta-lactamase						
ARO:3000938	card	TEM-72	PMID: ['10952610'], additional_phenotype: confers resistance to drug class: cephalosporin,monobactam,penicillin beta-lactam, is_a: ARO:3000014:TEM beta-lactamase, phenotype: confers resistance to antibiotic: ampicillin,ceftazidime	WP_032489614.1	blaTEM-72	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase TEM-72	blaTEM-72	blaTEM-72	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
ARO:3000928	card	TEM-59	PMID: ['10390218'], additional_phenotype: confers resistance to drug class: cephalosporin,monobactam,penicillin beta-lactam, is_a: ARO:3000014:TEM beta-lactamase, phenotype: confers resistance to antibiotic: ampicillin,ceftazidime	WP_063864990.1	blaTEM-76	OWH	0.953	1.0	phenotype: confers resistance to subclass BETA-LACTAM, product: inhibitor-resistant broad-spectrum class A beta-lactamase TEM-76	blaTEM-76	blaTEM-76	OWH	0.953	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
ARO:3002320	card	KPC-10	PMID: ['20038618'], is_a: ARO:3000059:KPC beta-lactamase, phenotype: confers resistance to drug class: carbapenem,cephalosporin,monobactam,penicillin beta-lactam	WP_063860633.1	blaKPC-10	RBH	1.0	1.0	phenotype: confers resistance to subclass CARBAPENEM, product: carbapenem-hydrolyzing class A beta-lactamase KPC-10	blaKPC-10	blaKPC-10	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
ARO:3001711	card	OXA-212	PMID: ['22128805'], is_a: ARO:3007705:OXA-211-like beta-lactamase, phenotype: confers resistance to drug class: carbapenem,penicillin beta-lactam	WP_063861677.1	blaOXA-212	RBH	1.0	1.0	phenotype: confers resistance to subclass CARBAPENEM, product: OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-212	blaOXA-212	blaOXA-212	RBH	1.0	1.0	phenotype: confers resistance to Unknown Beta-lactam
ARO:3002193	card	IMP-2	PMID: ['10770756'], is_a: ARO:3000020:IMP beta-lactamase, phenotype: confers resistance to drug class: carbapenem,cephalosporin,penicillin beta-lactam	WP_063860578.1	blaIMP-2	RBH	1.0	1.0	phenotype: confers resistance to subclass CARBAPENEM, product: subclass B1 metallo-beta-lactamase IMP-2	blaIMP-2	blaIMP-2	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
