query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
WP_000420317.1	ARO:3003109	0.631	483	178	0	1	483	1	483	3.041e-192	599
WP_000420317.1	ARO:3005087	0.476	484	252	0	2	485	3	484	6.328e-131	421
WP_000420317.1	ARO:3005088	0.472	484	254	0	2	485	3	484	2.707e-129	417
WP_000733274.1	ARO:3000621	0.894	281	30	0	1	281	1	281	8.164e-171	526
WP_000733274.1	ARO:3005097	0.687	279	87	0	1	279	1	279	7.892e-122	384
WP_000733274.1	ARO:3004738	0.501	281	140	0	1	281	1	281	6.872e-80	263
WP_000941935.1	ARO:3004113	0.989	140	2	0	1	140	1	140	1.411e-93	295
WP_000941935.1	ARO:3005162	0.97	140	4	0	1	140	1	140	2.206e-91	288
WP_000941935.1	ARO:3002804	0.863	136	18	0	1	136	1	136	1.424e-76	246
WP_000959805.1	ARO:3003200	0.96	190	8	0	1	190	1	190	3.382e-124	386
WP_000959805.1	ARO:3003989	0.515	181	86	0	1	179	16	196	1.2669999999999998e-51	177
WP_000959805.1	ARO:3002597	0.474	177	92	0	1	175	1	177	2.212e-44	156
WP_001021774.1	ARO:3001552	0.962	274	10	0	1	274	1	274	1.234e-181	556
WP_001021774.1	ARO:3001526	0.96	274	11	0	1	274	1	274	2.319e-181	556
WP_001021774.1	ARO:3001613	0.958	274	11	0	1	274	1	274	8.183e-181	554
WP_001031679.1	ARO:3004441	0.914	400	34	0	1	400	1	400	1.298e-251	766
WP_001031679.1	ARO:3005006	0.782	393	85	0	1	393	1	393	1.999e-204	629
WP_001031679.1	ARO:3000168	0.668	378	125	0	1	378	1	378	1.471e-160	503
WP_001096392.1	ARO:3000215	0.345	574	374	0	6	579	11	582	1.105e-94	320
WP_001096392.1	ARO:3000217	0.285	527	374	0	35	558	36	562	6.2009999999999996e-61	220
WP_001096392.1	ARO:3004445	0.265	261	176	0	341	581	22	282	6.567999999999999e-22	98
WP_001100752.1	ARO:3002363	0.926	308	23	0	1	308	1	308	9.999999999999999e-196	599
WP_001100752.1	ARO:3002366	0.924	308	23	0	1	308	1	308	2.575e-195	598
WP_001100752.1	ARO:3002365	0.924	308	23	0	1	308	1	308	2.575e-195	598
WP_001109644.1	ARO:3002559	1.0	160	0	0	21	180	1	160	2.293e-110	346
WP_001109644.1	ARO:3002574	0.971	183	5	0	1	183	1	183	4.706e-121	376
WP_001109644.1	ARO:3002560	0.942	183	11	0	1	183	1	183	1.1410000000000001e-116	364
WP_001159761.1	ARO:3003855	0.962	388	15	0	1	388	1	388	2.213e-259	787
WP_001159761.1	ARO:3003887	0.962	388	15	0	1	388	1	388	3.033e-259	787
WP_001159761.1	ARO:3003885	0.956	388	17	0	1	388	1	383	1.823e-257	782
WP_001211198.1	ARO:3005037	0.963	383	14	0	1	383	1	383	2.4590000000000002e-256	778
WP_001211198.1	ARO:3003849	0.962	383	15	0	1	383	1	383	8.672000000000001e-256	777
WP_001211198.1	ARO:3003852	0.959	383	16	0	1	383	1	383	4.191e-255	775
WP_001211199.1	ARO:3003848	0.962	383	15	0	1	383	1	383	8.672000000000001e-256	777
WP_001211199.1	ARO:3003849	0.959	383	16	0	1	383	1	383	4.191e-255	775
WP_001211199.1	ARO:3003883	0.959	383	16	0	1	383	1	383	5.743e-255	774
WP_001211200.1	ARO:3003885	0.96	383	15	0	1	383	1	383	2.232e-255	775
