id	database	name	metadata	card: id	card: name	card: match_type	card: match_identity	card: match_coverage	card: metadata	resfinder: id	resfinder: name	resfinder: match_type	resfinder: match_identity	resfinder: match_coverage	resfinder: metadata
WP_000004159.1	ncbi	mrx(A)	phenotype: confers resistance to subclass: AZITHROMYCIN, ERYTHROMYCIN, SPIRAMYCIN, TELITHROMYCIN, product: phosphorylated macrolide efflux MFS transporter Mrx(A)	ARO3003839	Mrx	RBH	1.0	1.0	PMID: ['16339607'], additional_phenotype: confers resistance to drug class: MACROLIDE ANTIBIOTIC, is_a: ARO:3000333:macrolide phosphotransferase (MPH), phenotype: confers resistance to antibiotic: AZITHROMYCIN,  ERYTHROMYCIN,  TYLOSIN	-	-	-	-	-	-
WP_000027050.1	ncbi	blaTEM-116	phenotype: confers resistance to subclass: BETA-LACTAM, product: broad-spectrum class A beta-lactamase TEM-116	ARO3000979	TEM-116	RBH	1.0	1.0	PMID: ['15243036'], additional_phenotype: confers resistance to drug class: CEPHALOSPORIN,  MONOBACTAM,  PENICILLIN BETA-LACTAM, is_a: ARO:3000014:TEM beta-lactamase, phenotype: confers resistance to antibiotic: AMPICILLIN,  CEFTAZIDIME	blaTEM-116	blaTEM-116	RBH	1.0	1.0	phenotype: confers resistance to: AMOXICILLIN, AMPICILLIN, CEPHALOTHIN, PIPERACILLIN, TICARCILLIN
WP_000027057.1	ncbi	blaTEM-1	phenotype: confers resistance to subclass: BETA-LACTAM, product: broad-spectrum class A beta-lactamase TEM-1	ARO3000873	TEM-1	RBH	1.0	1.0	PMID: ['20412308', '33416461', '5326330', '358200'], additional_phenotype: confers resistance to drug class: CEPHALOSPORIN,  MONOBACTAM,  PENICILLIN BETA-LACTAM, is_a: ARO:3000014:TEM beta-lactamase, phenotype: confers resistance to antibiotic: AMOXICILLIN,  AMPICILLIN,  CEFALOTIN,  CEFAZOLIN	blaTEM-1A	blaTEM-1A	RBH	1.0	1.0	phenotype: confers resistance to: AMOXICILLIN, AMPICILLIN, CEPHALOTHIN, PIPERACILLIN, TICARCILLIN
WP_000027060.1	ncbi	blaTEM-181	phenotype: confers resistance to subclass: BETA-LACTAM, product: class A beta-lactamase TEM-181	ARO3001044	TEM-181	RBH	1.0	1.0	PMID: ['21947397'], additional_phenotype: confers resistance to drug class: CEPHALOSPORIN,  MONOBACTAM,  PENICILLIN BETA-LACTAM, is_a: ARO:3000014:TEM beta-lactamase, phenotype: confers resistance to antibiotic: AMPICILLIN,  CEFTAZIDIME	blaTEM-181	blaTEM-181	RBH	1.0	1.0	phenotype: confers resistance to: UNKNOWN BETA-LACTAM
WP_000027061.1	ncbi	blaTEM-10	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase TEM-10	ARO3000882	TEM-10	RBH	1.0	1.0	PMID: ['2684007', '9925535', '8109951'], additional_phenotype: confers resistance to drug class: CEPHALOSPORIN,  MONOBACTAM,  PENICILLIN BETA-LACTAM, is_a: ARO:3000014:TEM beta-lactamase, phenotype: confers resistance to antibiotic: AMPICILLIN,  CEFTAZIDIME	blaTEM-10	blaTEM-10	RBH	1.0	1.0	phenotype: confers resistance to: AMOXICILLIN, AMPICILLIN, AZTREONAM, CEFEPIME, CEFOTAXIME, CEFTAZIDIME, CEFTRIAXONE, PIPERACILLIN, TICARCILLIN
WP_000031017.1	ncbi	mph(B)	phenotype: confers resistance to subclass: ERYTHROMYCIN, SPIRAMYCIN, TELITHROMYCIN, product: Mph(B) family macrolide 2'-phosphotransferase	ARO3000318	mphB	RBH	1.0	1.0	PMID: ['29317655', '8900063', '1330822', '9503630', '17302923'], additional_phenotype: confers resistance to drug class: MACROLIDE ANTIBIOTIC, is_a: ARO:3000333:macrolide phosphotransferase (MPH), phenotype: confers resistance to antibiotic: AZITHROMYCIN,  CLARITHROMYCIN,  DIRITHROMYCIN,  ERYTHROMYCIN,  OLEANDOMYCIN,  ROXITHROMYCIN,  SPIRAMYCIN,  TELITHROMYCIN,  TYLOSIN	mph(B)	mph(B)	RBH	1.0	1.0	phenotype: confers resistance to: ERYTHROMYCIN, SPIRAMYCIN, TELITHROMYCIN
WP_000034420.1	ncbi	sul3	phenotype: confers resistance to subclass: SULFONAMIDE, product: sulfonamide-resistant dihydropteroate synthase Sul3	ARO3000413	sul3	RBH	1.0	1.0	PMID: ['12604565'], additional_phenotype: confers resistance to drug class: SULFONAMIDE ANTIBIOTIC, is_a: ARO:3004238:sulfonamide resistant sul, phenotype: confers resistance to antibiotic: MAFENIDE,  SULFACETAMIDE,  SULFADIAZINE,  SULFADIMIDINE,  SULFADOXINE,  SULFAMETHIZOLE,  SULFAMETHOXAZOLE,  SULFASALAZINE,  SULFISOXAZOLE	sul3	sul3	RBH	1.0	1.0	phenotype: confers resistance to: SULFAMETHOXAZOLE
WP_000052512.1	ncbi	msr(E)	phenotype: confers resistance to subclass: AZITHROMYCIN, ERYTHROMYCIN, STREPTOGRAMIN, product: ABC-F type ribosomal protection protein Msr(E)	ARO3003109	msrE	RBH	1.0	1.0	PMID: ['23114767'], additional_phenotype: confers resistance to drug class: MACROLIDE ANTIBIOTIC,  STREPTOGRAMIN ANTIBIOTIC, is_a: ARO:3004471:msr-type ABC-F protein, phenotype: confers resistance to antibiotic: ERYTHROMYCIN	msr(E)	msr(E)	RBH	1.0	1.0	phenotype: confers resistance to: AZITHROMYCIN, ERYTHROMYCIN, PRISTINAMYCIN IA, QUINUPRISTIN, VIRGINIAMYCIN S
WP_000054744.1	ncbi	satA	phenotype: confers resistance to subclass: STREPTOTHRICIN, product: streptothricin N-acetyltransferase SatA	ARO3005045	SatA	RBH	1.0	1.0	PMID: ['12721629'], additional_phenotype: confers resistance to drug class: NUCLEOSIDE ANTIBIOTIC, is_a: ARO:3000869:streptothricin acetyltransferase (SAT), phenotype: confers resistance to antibiotic: STREPTOTHRICIN						
WP_000067268.1	ncbi	ant(9)-Ia	phenotype: confers resistance to subclass: SPECTINOMYCIN, product: aminoglycoside nucleotidyltransferase ANT(9)-Ia	ARO3002630	ANT(9)-Ia	RBH	1.0	1.0	PMID: ['23511231', '2993813', '3004956'], is_a: ARO:3007400:ANT(9)-I, phenotype: confers resistance to antibiotic: SPECTINOMYCIN	ant(9)-Ia	ant(9)-Ia	RBH	1.0	1.0	phenotype: confers resistance to: SPECTINOMYCIN
WP_000116906.1	ncbi	aph(6)-Ic	phenotype: confers resistance to subclass: STREPTOMYCIN, product: aminoglycoside O-phosphotransferase APH(6)-Ic	ARO3002659	APH(6)-Ic	RBH	1.0	1.0	PMID: ['15102449', '3889831'], is_a: ARO:3007415:APH(6)-I, phenotype: confers resistance to antibiotic: STREPTOMYCIN	aph(6)-Ic	aph(6)-Ic	RBH	1.0	0.95	phenotype: confers resistance to: STREPTOMYCIN
WP_000131886.1	ncbi	aac(3)-VIa	phenotype: confers resistance to subclass: GENTAMICIN, product: aminoglycoside N-acetyltransferase AAC(3)-VIa	ARO3002540	AAC(3)-VIa	RBH	0.996	1.0	PMID: ['19949054', '8257126'], is_a: ARO:3007388:AAC(3)-VI, phenotype: confers resistance to antibiotic: 6'-N-ETHYLNETILMICIN,  GENTAMICIN,  SISOMICIN	aac(3)-VIa	aac(3)-VIa	RBH	0.996	1.0	phenotype: confers resistance to: GENTAMICIN
